"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"dhadak 2","20K+","July 31, 2025 at 1:10:00 PM UTC+5:30",,"dhadak 2,dhadak 2 reviews,dhadak 2 review","https://trends.google.com/trends/explore?q=dhadak%202&geo=IN&hl=en-US"
"nita ambani","20K+","July 31, 2025 at 1:00:00 PM UTC+5:30",,"nita ambani","https://trends.google.com/trends/explore?q=nita%20ambani&geo=IN&hl=en-US"
"kingdom collection","20K+","July 31, 2025 at 5:10:00 PM UTC+5:30",,"kingdom collection,kingdom budget,kingdom collection day 1 worldwide,kingdom movie budget,kingdom first day collection,kingdom day 1 collection,kingdom box office collection,greatandhra telugu,kingdom 1st day collection","https://trends.google.com/trends/explore?q=kingdom%20collection&geo=IN&hl=en-US"
"younes zarou","10K+","July 31, 2025 at 7:30:00 PM UTC+5:30",,"younes zarou,noel robinson","https://trends.google.com/trends/explore?q=younes%20zarou&geo=IN&hl=en-US"
"son of sardaar 2","10K+","August 1, 2025 at 9:30:00 AM UTC+5:30",,"son of sardaar 2,son of sardaar 2 reviews,son of sardar 2","https://trends.google.com/trends/explore?q=son%20of%20sardaar%202&geo=IN&hl=en-US"
"sitaare zameen par","5K+","August 1, 2025 at 12:50:00 AM UTC+5:30",,"sitaare zameen par,sitare zameen par","https://trends.google.com/trends/explore?q=sitaare%20zameen%20par&geo=IN&hl=en-US"
"rajkummar rao","2K+","August 1, 2025 at 6:40:00 AM UTC+5:30",,"rajkummar rao","https://trends.google.com/trends/explore?q=rajkummar%20rao&geo=IN&hl=en-US"
"rajiv thakur","2K+","August 1, 2025 at 5:50:00 AM UTC+5:30",,"rajiv thakur","https://trends.google.com/trends/explore?q=rajiv%20thakur&geo=IN&hl=en-US"
"lyme disease","2K+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"lyme disease","https://trends.google.com/trends/explore?q=lyme%20disease&geo=IN&hl=en-US"
"ar murugadoss","500+","August 1, 2025 at 11:20:00 AM UTC+5:30",,"ar murugadoss","https://trends.google.com/trends/explore?q=ar%20murugadoss&geo=IN&hl=en-US"
"पिक्चर","200+","August 1, 2025 at 12:20:00 PM UTC+5:30",,"पिक्चर","https://trends.google.com/trends/explore?q=%E0%A4%AA%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%9A%E0%A4%B0&geo=IN&hl=en-US"
