"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"jason momoa","50K+","July 31, 2025 at 5:00:00 AM UTC+5:30",,"jason momoa,jason momoa shaved,jason momoa no beard,jason mamoa,dune 3","https://trends.google.com/trends/explore?q=jason%20momoa&geo=US&hl=en-US"
"wednesday season 2","50K+","July 31, 2025 at 12:30:00 AM UTC+5:30",,"wednesday season 2,jenna ortega,wednesday,wednesday cast,catherine zeta jones","https://trends.google.com/trends/explore?q=wednesday%20season%202&geo=US&hl=en-US"
"lyme disease","20K+","July 31, 2025 at 10:10:00 PM UTC+5:30",,"lyme disease,lyme disease symptoms,justin timberlake,justin timberlake lyme disease,lymes disease,lyme.disease,today.com","https://trends.google.com/trends/explore?q=lyme%20disease&geo=US&hl=en-US"
"lollapalooza 2025 lineup","10K+","July 31, 2025 at 4:40:00 AM UTC+5:30",,"lollapalooza 2025 lineup,lollapalooza schedule","https://trends.google.com/trends/explore?q=lollapalooza%202025%20lineup&geo=US&hl=en-US"
"twisted metal season 2","10K+","July 31, 2025 at 4:00:00 AM UTC+5:30",,"twisted metal season 2","https://trends.google.com/trends/explore?q=twisted%20metal%20season%202&geo=US&hl=en-US"
"trevor magallanes","10K+","July 31, 2025 at 8:00:00 AM UTC+5:30",,"trevor magallanes,rufa mae husband,rufa mae quinto husband","https://trends.google.com/trends/explore?q=trevor%20magallanes&geo=US&hl=en-US"
"war of the worlds ice cube","10K+","July 31, 2025 at 12:20:00 AM UTC+5:30",,"war of the worlds ice cube","https://trends.google.com/trends/explore?q=war%20of%20the%20worlds%20ice%20cube&geo=US&hl=en-US"
"kevin gates","10K+","July 31, 2025 at 5:00:00 AM UTC+5:30",,"kevin gates,dreka gates,brittany renner","https://trends.google.com/trends/explore?q=kevin%20gates&geo=US&hl=en-US"
"david berkowitz","10K+","July 31, 2025 at 1:00:00 AM UTC+5:30",,"david berkowitz,son of sam","https://trends.google.com/trends/explore?q=david%20berkowitz&geo=US&hl=en-US"
"arizona","5K+","July 31, 2025 at 7:40:00 AM UTC+5:30",,"arizona","https://trends.google.com/trends/explore?q=arizona&geo=US&hl=en-US"
"wednesday season 2 release date","5K+","July 31, 2025 at 12:20:00 AM UTC+5:30",,"wednesday season 2 release date","https://trends.google.com/trends/explore?q=wednesday%20season%202%20release%20date&geo=US&hl=en-US"
"project runway 2025","5K+","July 31, 2025 at 4:30:00 AM UTC+5:30",,"project runway 2025,project runway,nina garcia","https://trends.google.com/trends/explore?q=project%20runway%202025&geo=US&hl=en-US"
"wisconsin state fair","5K+","July 31, 2025 at 5:20:00 AM UTC+5:30",,"wisconsin state fair,wisconsin state fair 2025","https://trends.google.com/trends/explore?q=wisconsin%20state%20fair&geo=US&hl=en-US"
"leanne netflix","2K+","July 31, 2025 at 8:20:00 PM UTC+5:30",,"leanne netflix,leanne morgan netflix","https://trends.google.com/trends/explore?q=leanne%20netflix&geo=US&hl=en-US"
"the weeknd philly","2K+","July 31, 2025 at 3:00:00 AM UTC+5:30",,"the weeknd philly","https://trends.google.com/trends/explore?q=the%20weeknd%20philly&geo=US&hl=en-US"
"mgk","1K+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"mgk","https://trends.google.com/trends/explore?q=mgk&geo=US&hl=en-US"
"akon city","1K+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"akon city,akon","https://trends.google.com/trends/explore?q=akon%20city&geo=US&hl=en-US"
"jeremy strong","1K+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"jeremy strong,mark zuckerberg","https://trends.google.com/trends/explore?q=jeremy%20strong&geo=US&hl=en-US"
"wesley snipes","1K+","July 31, 2025 at 8:50:00 PM UTC+5:30",,"wesley snipes","https://trends.google.com/trends/explore?q=wesley%20snipes&geo=US&hl=en-US"
"megan fox","1K+","July 31, 2025 at 4:50:00 PM UTC+5:30",,"megan fox","https://trends.google.com/trends/explore?q=megan%20fox&geo=US&hl=en-US"
"ksoo","500+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"ksoo","https://trends.google.com/trends/explore?q=ksoo&geo=US&hl=en-US"
"jane austen","500+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"jane austen","https://trends.google.com/trends/explore?q=jane%20austen&geo=US&hl=en-US"
