"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"shane bieber","50K+","July 31, 2025 at 7:00:00 PM UTC+5:30",,"shane bieber,khal stephen,shane bieber contract,shane bieber stats,jays trade,blue jays trades,shane bieber injury,blue jays trade,jays news,bieber,shane bieber trade,blue jays trade rumors,mlbtraderumors,shane bieber injury update","https://trends.google.com/trends/explore?q=shane%20bieber&geo=CA&hl=en-US"
"arsenal vs tottenham","20K+","July 31, 2025 at 4:20:00 PM UTC+5:30",,"arsenal vs tottenham,arsenal,arsenal – tottenham,tottenham,club friendlies,arsenal f.c","https://trends.google.com/trends/explore?q=arsenal%20vs%20tottenham&geo=CA&hl=en-US"
"karun nair","20K+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"karun nair,india vs england,ind vs eng,josh tongue,england vs india,india national cricket team vs england cricket team match scorecard,eng vs ind,cricinfo,cricket,gus atkinson","https://trends.google.com/trends/explore?q=karun%20nair&geo=CA&hl=en-US"
"fc seoul vs barcelona","10K+","July 31, 2025 at 4:00:00 PM UTC+5:30",,"fc seoul vs barcelona,barca","https://trends.google.com/trends/explore?q=fc%20seoul%20vs%20barcelona&geo=CA&hl=en-US"
"mlb trade deadline","10K+","July 31, 2025 at 1:50:00 AM UTC+5:30",,"mlb trade deadline,mlb trade deadline 2025,mlb trade tracker,mlb trade rumors,trade deadline mlb","https://trends.google.com/trends/explore?q=mlb%20trade%20deadline&geo=CA&hl=en-US"
"nfl","5K+","July 31, 2025 at 4:20:00 PM UTC+5:30",,"nfl,nfl preseason","https://trends.google.com/trends/explore?q=nfl&geo=CA&hl=en-US"
"mason miller","2K+","July 31, 2025 at 7:50:00 PM UTC+5:30",,"mason miller,leo de vries,jp sears,leodalis de vries,robert suarez","https://trends.google.com/trends/explore?q=mason%20miller&geo=CA&hl=en-US"
"vince mcmahon","2K+","July 31, 2025 at 7:40:00 AM UTC+5:30",,"vince mcmahon","https://trends.google.com/trends/explore?q=vince%20mcmahon&geo=CA&hl=en-US"
"rays vs yankees","2K+","July 31, 2025 at 4:20:00 AM UTC+5:30",,"rays vs yankees","https://trends.google.com/trends/explore?q=rays%20vs%20yankees&geo=CA&hl=en-US"
"marta kostyuk","1K+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"marta kostyuk,daria kasatkina","https://trends.google.com/trends/explore?q=marta%20kostyuk&geo=CA&hl=en-US"
"steven kwan","1K+","July 31, 2025 at 7:30:00 PM UTC+5:30",,"steven kwan,blue jays rumors","https://trends.google.com/trends/explore?q=steven%20kwan&geo=CA&hl=en-US"
"nfl schedule","1K+","July 31, 2025 at 5:40:00 AM UTC+5:30",,"nfl schedule","https://trends.google.com/trends/explore?q=nfl%20schedule&geo=CA&hl=en-US"
"lpga","1K+","July 31, 2025 at 5:00:00 PM UTC+5:30",,"lpga,brooke henderson","https://trends.google.com/trends/explore?q=lpga&geo=CA&hl=en-US"
"kyle finnegan","500+","July 31, 2025 at 10:10:00 PM UTC+5:30",,"kyle finnegan","https://trends.google.com/trends/explore?q=kyle%20finnegan&geo=CA&hl=en-US"
"brock stewart","200+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"brock stewart","https://trends.google.com/trends/explore?q=brock%20stewart&geo=CA&hl=en-US"
"alex michelsen","200+","July 31, 2025 at 10:50:00 PM UTC+5:30",,"alex michelsen","https://trends.google.com/trends/explore?q=alex%20michelsen&geo=CA&hl=en-US"
"dhruv jurel","200+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"dhruv jurel","https://trends.google.com/trends/explore?q=dhruv%20jurel&geo=CA&hl=en-US"
"harrison bader","200+","July 31, 2025 at 10:40:00 PM UTC+5:30",,"harrison bader","https://trends.google.com/trends/explore?q=harrison%20bader&geo=CA&hl=en-US"
"lorenzo musetti","200+","July 31, 2025 at 10:50:00 PM UTC+5:30",,"lorenzo musetti","https://trends.google.com/trends/explore?q=lorenzo%20musetti&geo=CA&hl=en-US"
"david bednar","200+","July 31, 2025 at 8:30:00 PM UTC+5:30",,"david bednar","https://trends.google.com/trends/explore?q=david%20bednar&geo=CA&hl=en-US"
"cody rhodes","200+","July 31, 2025 at 10:00:00 PM UTC+5:30",,"cody rhodes","https://trends.google.com/trends/explore?q=cody%20rhodes&geo=CA&hl=en-US"
"jason smith","100+","July 31, 2025 at 11:10:00 PM UTC+5:30",,"jason smith","https://trends.google.com/trends/explore?q=jason%20smith&geo=CA&hl=en-US"
