"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"man united vs bournemouth","200K+","July 31, 2025 at 5:10:00 AM UTC+5:30",,"man united vs bournemouth,ethan williams,man utd vs bournemouth,premier league summer series,man utd v bournemouth,cunha,man u vs bournemouth,bournemouth fc,mufc,patrick dorgu,manchester united f.c.,premier league,man utd bournemouth,bournemouth vs man united,manchester united f.c,man utd – bournemouth,dorgu,united vs bournemouth,bournemouth,united,mutv,man u v bournemouth,manchester united vs bournemouth,summer series,matheus cunha,manchester united - bournemouth,tom heaton,manchester united f.c. vs a.f.c. bournemouth,manchester united f.c. vs a.f.c. bournemouth lineups","https://trends.google.com/trends/explore?q=man%20united%20vs%20bournemouth&geo=GB&hl=en-US"
"gus atkinson","100K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"gus atkinson,the oval,josh tongue,karun nair,ravi shastri,chris woakes,india vs england,ind vs eng,india national cricket team vs england cricket team match scorecard,eng vs ind,oval weather,cricinfo,stuart broad,the oval weather,england cricket team,weather london,live cricket score,oval cricket,india cricket,weather forecast london,london weather today,v","https://trends.google.com/trends/explore?q=gus%20atkinson&geo=GB&hl=en-US"
"tottenham vs arsenal","100K+","July 31, 2025 at 4:10:00 PM UTC+5:30",,"tottenham vs arsenal,spurs vs arsenal,arsenal f.c. vs tottenham,arsenal,arsenal v tottenham,arsenal vs spurs,tottenham,arsenal tottenham,spurs,arsenal fc,spurs v arsenal,arsenal v spurs,arsenal f.c. vs tottenham lineups,arsenal spurs,spurs arsenal,arsenal vs tottenham live,spursplay,arsenal score,tottenham arsenal,arsenal vs tottenham live stream free,pape matar sarr,arsenal vs,tottenham v arsenal,tottenham hotspur,spurs play,tottenham hotspur f.c.,arsenal - tottenham,arsenal.com,club friendlies,arsenal f.c. vs tottenham stats,where to watch arsenal vs tottenham,arsenal – tottenham,sarr goal,arsenal v tottenham hong kong,arsenal vs tottenham where to watch,where to watch arsenal f.c. vs tottenham,arsenal tv,how to watch arsenal vs tottenham,spurs fc,tottenham fixtures,arsenal vs tottenham hong kong,arsenal vs tottenham channel,sarr goal vs arsenal,what channel is arsenal on today,arsenal vs tottenham live stream,watch arsenal v tottenham,mohammed kudus,arsenal vs spurs hong kong,spurs score,arsenal v tottenham friendly,arsenal f.c. vs tottenham timeline,arsenal v spurs hong kong,where can i watch arsenal vs tottenham","https://trends.google.com/trends/explore?q=tottenham%20vs%20arsenal&geo=GB&hl=en-US"
"fc seoul vs barcelona","50K+","July 31, 2025 at 3:40:00 PM UTC+5:30",,"fc seoul vs barcelona,barca,jesse lingard,seoul - barcelona,fc seoul vs fc barcelona,fc seoul vs fc barcelona lineups","https://trends.google.com/trends/explore?q=fc%20seoul%20vs%20barcelona&geo=GB&hl=en-US"
"west ham vs everton","50K+","July 31, 2025 at 2:40:00 AM UTC+5:30",,"west ham vs everton,everton,west ham v everton,everton v west ham,everton news,harrison armstrong","https://trends.google.com/trends/explore?q=west%20ham%20vs%20everton&geo=GB&hl=en-US"
"perth glory vs milan","20K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"perth glory vs milan","https://trends.google.com/trends/explore?q=perth%20glory%20vs%20milan&geo=GB&hl=en-US"
"una strassen vs dundee united","5K+","July 31, 2025 at 9:40:00 PM UTC+5:30",,"una strassen vs dundee united,dundee united,una strassen,dundee utd","https://trends.google.com/trends/explore?q=una%20strassen%20vs%20dundee%20united&geo=GB&hl=en-US"
"aig women's open","5K+","July 31, 2025 at 1:10:00 PM UTC+5:30",,"aig women's open,women's open,porthcawl,nelly korda,aig women's open 2025,royal porthcawl,womens open","https://trends.google.com/trends/explore?q=aig%20women%27s%20open&geo=GB&hl=en-US"
"henrik pedersen","5K+","July 31, 2025 at 3:30:00 PM UTC+5:30",,"henrik pedersen","https://trends.google.com/trends/explore?q=henrik%20pedersen&geo=GB&hl=en-US"
"jamie overton","2K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"jamie overton,ollie pope","https://trends.google.com/trends/explore?q=jamie%20overton&geo=GB&hl=en-US"
"jamie cureton","2K+","July 31, 2025 at 2:10:00 PM UTC+5:30",,"jamie cureton","https://trends.google.com/trends/explore?q=jamie%20cureton&geo=GB&hl=en-US"
"marc guiu","2K+","July 31, 2025 at 8:50:00 PM UTC+5:30",,"marc guiu","https://trends.google.com/trends/explore?q=marc%20guiu&geo=GB&hl=en-US"
"hibs","2K+","July 31, 2025 at 10:30:00 PM UTC+5:30",,"hibs,hibernian vs midtjylland,hibernian fc","https://trends.google.com/trends/explore?q=hibs&geo=GB&hl=en-US"
"brandon williams","2K+","July 31, 2025 at 3:10:00 AM UTC+5:30",,"brandon williams","https://trends.google.com/trends/explore?q=brandon%20williams&geo=GB&hl=en-US"
"dhruv jurel","1K+","July 31, 2025 at 4:00:00 PM UTC+5:30",,"dhruv jurel","https://trends.google.com/trends/explore?q=dhruv%20jurel&geo=GB&hl=en-US"
"sylvain guintoli","500+","July 31, 2025 at 1:10:00 PM UTC+5:30",,"sylvain guintoli","https://trends.google.com/trends/explore?q=sylvain%20guintoli&geo=GB&hl=en-US"
"shakhtar donetsk vs beşiktaş","200+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"shakhtar donetsk vs beşiktaş","https://trends.google.com/trends/explore?q=shakhtar%20donetsk%20vs%20be%C5%9Fikta%C5%9F&geo=GB&hl=en-US"
"john lundstram","200+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"john lundstram","https://trends.google.com/trends/explore?q=john%20lundstram&geo=GB&hl=en-US"
"ht spor","200+","July 31, 2025 at 11:30:00 PM UTC+5:30",,"ht spor","https://trends.google.com/trends/explore?q=ht%20spor&geo=GB&hl=en-US"
"besiktas","200+","July 31, 2025 at 11:30:00 PM UTC+5:30",,"besiktas","https://trends.google.com/trends/explore?q=besiktas&geo=GB&hl=en-US"
"cfr cluj vs lugano","200+","July 31, 2025 at 11:00:00 PM UTC+5:30",,"cfr cluj vs lugano","https://trends.google.com/trends/explore?q=cfr%20cluj%20vs%20lugano&geo=GB&hl=en-US"
"europa conference league","200+","July 31, 2025 at 11:20:00 PM UTC+5:30",,"europa conference league","https://trends.google.com/trends/explore?q=europa%20conference%20league&geo=GB&hl=en-US"
