"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"karun nair","2M+","July 31, 2025 at 3:30:00 PM UTC+5:30",,"karun nair,india vs england,prasidh krishna,india national cricket team vs england cricket team match scorecard,eng vs ind,oval weather,india at england,cricinfo,india national cricket team,india vs england 5th test 2025,india national cricket team vs england cricket team timeline,the oval weather,england cricket team,england cricket team vs india national cricket team timeline,ind vs eng 5th test,ind vs eng 4th test scorecard,ind vs eng 2025,india test match,live cricket match,india vs england test,ind vs eng toss,india england test,england vs india today match,india england 5th test,india vs england test series 2025,kennington oval weather,india vs eng,india vs england 5th test,india vs england 4th test 2025,india vs,where to watch india national cricket team vs england cricket team,oval london weather,today cricket match","https://trends.google.com/trends/explore?q=karun%20nair&geo=IN&hl=en-US"
"pakistan vs west indies","500K+","August 1, 2025 at 5:00:00 AM UTC+5:30",,"pakistan vs west indies,pakistan national cricket team vs west indies cricket team match scorecard,wi vs pak,johnson charles,mohammad nawaz,saim ayub,fakhar zaman,west indies vs pakistan,pak vs wi t20,west indies cricket team vs pakistan national cricket team match scorecard,pakistan national cricket team,pak vs wi live telecast in india,live cricket score cricbuzz,west indies cricket team,wi vs pak t20","https://trends.google.com/trends/explore?q=pakistan%20vs%20west%20indies&geo=IN&hl=en-US"
"fc seoul vs barcelona","200K+","July 31, 2025 at 3:40:00 PM UTC+5:30",,"fc seoul vs barcelona,fc barcelona,barca,jesse lingard,fcb,fc seoul vs fc barcelona,fc seoul vs fc barcelona lineups,barca match,barcelona match,barca vs,fc seoul,barcelona vs fc seoul","https://trends.google.com/trends/explore?q=fc%20seoul%20vs%20barcelona&geo=IN&hl=en-US"
"arsenal vs tottenham","100K+","July 31, 2025 at 4:00:00 PM UTC+5:30",,"arsenal vs tottenham,arsenal,club friendlies,arsenal f.c. vs tottenham,tottenham,arsenal f.c. vs tottenham lineups,where to watch arsenal f.c. vs tottenham,pape matar sarr,spurs,christian nørgaard","https://trends.google.com/trends/explore?q=arsenal%20vs%20tottenham&geo=IN&hl=en-US"
"perth glory vs milan","20K+","July 31, 2025 at 3:20:00 PM UTC+5:30",,"perth glory vs milan,ac milan,milan","https://trends.google.com/trends/explore?q=perth%20glory%20vs%20milan&geo=IN&hl=en-US"
"पाकिस्तान बनाम वेस्टइंडीज","20K+","August 1, 2025 at 5:10:00 AM UTC+5:30",,"पाकिस्तान बनाम वेस्टइंडीज,shamar joseph,jason holder,मोहम्मद नवाज,सईम अयूब","https://trends.google.com/trends/explore?q=%E0%A4%AA%E0%A4%BE%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%B5%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A5%80%E0%A4%9C&geo=IN&hl=en-US"
"shaheen afridi","20K+","August 1, 2025 at 5:00:00 AM UTC+5:30",,"shaheen afridi,salman ali agha","https://trends.google.com/trends/explore?q=shaheen%20afridi&geo=IN&hl=en-US"
"jewel andrew","10K+","August 1, 2025 at 5:10:00 AM UTC+5:30",,"jewel andrew","https://trends.google.com/trends/explore?q=jewel%20andrew&geo=IN&hl=en-US"
"monterrey vs cincinnati","5K+","August 1, 2025 at 4:10:00 AM UTC+5:30",,"monterrey vs cincinnati","https://trends.google.com/trends/explore?q=monterrey%20vs%20cincinnati&geo=IN&hl=en-US"
"sporting vs benfica","5K+","August 1, 2025 at 1:30:00 AM UTC+5:30",,"sporting vs benfica,supertaça cândido de oliveira","https://trends.google.com/trends/explore?q=sporting%20vs%20benfica&geo=IN&hl=en-US"
"pro kabaddi","2K+","August 1, 2025 at 7:00:00 AM UTC+5:30",,"pro kabaddi,pkl,tamil thalaivas","https://trends.google.com/trends/explore?q=pro%20kabaddi&geo=IN&hl=en-US"
