"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"lions vs chargers","500K+","July 31, 2025 at 4:20:00 PM UTC+5:30",,"lions vs chargers,detroit lions,lions game,nfl games today,la chargers,football games today,nfl game,nfl hall of fame game,chargers depth chart,hof game,chargers game,football tonight,where to watch detroit lions vs los angeles chargers,jim harbaugh,nfl game today,nfl football,justin herbert,nfl tonight,hall of fame game score,lions game today,nfl game tonight,2025 nfl hall of fame class,los angeles chargers vs detroit lions match player stats,los angeles chargers,lions depth chart,dominic lovett,pre season football,lions schedule 2025,lions score,what channel is the hall of fame game on,nfl hall of fame inductees 2025,tom benson hall of fame stadium,nfl today,preseason football,grant stuard,lions schedule,2025 hall of fame class,what is the hall of fame game,detroit lions schedule,chargers qb,lions football,chargers score,hall of fame game time,when does nfl preseason start,chargers roster,jared goff,hof game 2025,nfl hall of fame,nfl score,hall of fame game 2025 score,lions roster,detroit lions vs los angeles chargers match player stats,hall of fame inductees 2025,where to watch hall of fame game,what time is the hall of fame game,hall of fame game nfl,how to watch hall of fame game,detroit lions roster,nfl preseason 2025,lions qb,football game tonight,lions chargers game,first nfl game 2025,detroit lions game today,hall.of fame game 2025,nfl news,where is the hall of fame game,chargers vs lions prediction,detroit lions players,pro football hall of fame,preseason,detroit lions depth chart,where to watch lions vs chargers,nfl hall of fame 2025,lions roster 2025,sling tv,nfl preseason games,hof game nfl,trey lance draft,hall of fame game channel,nfl pre season,chargers vs lions where to watch,lions quarterback,detroit lions roster 2025,nfl games today on tv,where can i watch the hall of fame game,where to watch chargers vs lions,what is the nfl hall of fame game,lions backup qb,nfl hof game,lions preseason,lions vs chargers prediction,where to watch nfl preseason,detroit lions quarterback,hall of fame,lions depth chart 2025,lions vs chargers 2025,detroit lions qb,where to watch nfl hall of fame game,detroit lions vs los angeles chargers,chargers quarterback,nfl hof inductees 2025,san diego chargers,pro football hall of fame game,score,chargers roster 2025","https://trends.google.com/trends/explore?q=lions%20vs%20chargers&geo=US&hl=en-US"
"cruz azul - seattle sounders","100K+","August 1, 2025 at 7:10:00 AM UTC+5:30",,"cruz azul - seattle sounders,cruz azul vs seattle sounders,cruz azul,seattle sounders,sounders,pedro de la vega,seattle sounders fc,cruz azul games,sounders vs cruz azul,cruz azul vs seattle sounders prediction","https://trends.google.com/trends/explore?q=cruz%20azul%20-%20seattle%20sounders&geo=US&hl=en-US"
"carlos correa","100K+","August 1, 2025 at 1:30:00 AM UTC+5:30",,"carlos correa,carlos correa trade,correa,twins trade,minnesota twins,carlos correa contract,correa astros,correa trade,astros trade,astros,carlos correa astros,twins,houston astros,when does the mlb trade deadline end,mn twins,carlos correa trade details,astros trades,carlos.correa,mn twins trade,astros news,astros correa,correa contract","https://trends.google.com/trends/explore?q=carlos%20correa&geo=US&hl=en-US"
"terry mclaurin","100K+","August 1, 2025 at 4:10:00 AM UTC+5:30",,"terry mclaurin,terry mclaurin stats,terry mclaurin contract,patriots,commanders,football today,terry mclaurin news,mclaurin,terry mclaurin age,nfl teams,washington commanders,terry mclaurin trade,terry mclaurin request trade,commanders news","https://trends.google.com/trends/explore?q=terry%20mclaurin&geo=US&hl=en-US"
"dustin may","100K+","August 1, 2025 at 3:10:00 AM UTC+5:30",,"dustin may,james tibbs,red sox trade,james tibbs iii,red sox news,dodgers trades,red sox trades,zach ehrhard,dodgers news,dustin may red sox,red sox trades today,red sox dustin may,red sox rumors","https://trends.google.com/trends/explore?q=dustin%20may&geo=US&hl=en-US"
"kyle allen","50K+","August 1, 2025 at 4:00:00 AM UTC+5:30",,"kyle allen,dan campbell,teslaa wr,kyle allen nfl,kyle allen qb,allen lions","https://trends.google.com/trends/explore?q=kyle%20allen&geo=US&hl=en-US"
"camilo doval","50K+","August 1, 2025 at 3:20:00 AM UTC+5:30",,"camilo doval,doval giants,jesus rodriguez yankees,parks harber,sf giants news,doval trade,camilo.doval,sf giants trade,giants trades,san francisco giants","https://trends.google.com/trends/explore?q=camilo%20doval&geo=US&hl=en-US"
"braves vs reds","50K+","August 1, 2025 at 3:50:00 AM UTC+5:30",,"braves vs reds,reds,cincinnati reds,braves,reds vs braves,braves score,reds game today,braves - reds,braves reds","https://trends.google.com/trends/explore?q=braves%20vs%20reds&geo=US&hl=en-US"
"harrison bader","50K+","July 31, 2025 at 10:20:00 PM UTC+5:30",,"harrison bader,phillies trades,hendry mendez,geremy villoria,bader,harrison bader trade,max kepler,phillies rumors","https://trends.google.com/trends/explore?q=harrison%20bader&geo=US&hl=en-US"
"jose caballero","50K+","August 1, 2025 at 3:10:00 AM UTC+5:30",,"jose caballero,tampa bay rays new york yankees,everson pereira,caballero rays,tampa bay rays,rays,jose caballero trade,yankees rays,caballero baseball","https://trends.google.com/trends/explore?q=jose%20caballero&geo=US&hl=en-US"
"rangers vs mariners","20K+","August 1, 2025 at 6:20:00 AM UTC+5:30",,"rangers vs mariners,kumar rocker,mariners game,rangers vs mariners prediction,rangers - mariners","https://trends.google.com/trends/explore?q=rangers%20vs%20mariners&geo=US&hl=en-US"
"joe ryan","20K+","July 31, 2025 at 9:20:00 PM UTC+5:30",,"joe ryan,joe ryan twins,joe ryan trade rumors","https://trends.google.com/trends/explore?q=joe%20ryan&geo=US&hl=en-US"
"mike yastrzemski","20K+","August 1, 2025 at 3:40:00 AM UTC+5:30",,"mike yastrzemski,yunior marte,yastrzemski,yunior marte royals,mike yastrzemski trade,mike yaz,giants trade,sf giants trades,royals trade","https://trends.google.com/trends/explore?q=mike%20yastrzemski&geo=US&hl=en-US"
"brock stewart","20K+","July 31, 2025 at 10:50:00 PM UTC+5:30",,"brock stewart,james outman,brock stewart trade","https://trends.google.com/trends/explore?q=brock%20stewart&geo=US&hl=en-US"
"valkyries vs mystics","20K+","August 1, 2025 at 4:10:00 AM UTC+5:30",,"valkyries vs mystics,washington mystics,golden state valkyries,mystics,mystics vs valkyries,brittney sykes,veronica burton,where to watch golden state valkyries vs washington mystics","https://trends.google.com/trends/explore?q=valkyries%20vs%20mystics&geo=US&hl=en-US"
"alex call","20K+","July 31, 2025 at 9:40:00 PM UTC+5:30",,"alex call,eriq swan","https://trends.google.com/trends/explore?q=alex%20call&geo=US&hl=en-US"
"nestor cortes","20K+","August 1, 2025 at 3:10:00 AM UTC+5:30",,"nestor cortes,brandon lockridge,jorge quintana,nestor cortes jr","https://trends.google.com/trends/explore?q=nestor%20cortes&geo=US&hl=en-US"
"pakistan vs west indies","20K+","August 1, 2025 at 5:10:00 AM UTC+5:30",,"pakistan vs west indies,pak vs wi,wi vs pak,west indies vs pakistan","https://trends.google.com/trends/explore?q=pakistan%20vs%20west%20indies&geo=US&hl=en-US"
"dj uiagalelei","10K+","July 31, 2025 at 9:10:00 PM UTC+5:30",,"dj uiagalelei","https://trends.google.com/trends/explore?q=dj%20uiagalelei&geo=US&hl=en-US"
"la galaxy - tijuana","10K+","August 1, 2025 at 7:40:00 AM UTC+5:30",,"la galaxy - tijuana,la galaxy,los angeles galaxy","https://trends.google.com/trends/explore?q=la%20galaxy%20-%20tijuana&geo=US&hl=en-US"
"la galaxy vs club tijuana","10K+","August 1, 2025 at 7:40:00 AM UTC+5:30",,"la galaxy vs club tijuana,xolos","https://trends.google.com/trends/explore?q=la%20galaxy%20vs%20club%20tijuana&geo=US&hl=en-US"
"craig reynolds","10K+","August 1, 2025 at 6:00:00 AM UTC+5:30",,"craig reynolds","https://trends.google.com/trends/explore?q=craig%20reynolds&geo=US&hl=en-US"
"kimani vidal","10K+","August 1, 2025 at 6:00:00 AM UTC+5:30",,"kimani vidal,tony jefferson,myles purchase,reynolds lions","https://trends.google.com/trends/explore?q=kimani%20vidal&geo=US&hl=en-US"
"omarion hampton","10K+","August 1, 2025 at 3:10:00 AM UTC+5:30",,"omarion hampton","https://trends.google.com/trends/explore?q=omarion%20hampton&geo=US&hl=en-US"
"isaac teslaa","10K+","July 31, 2025 at 5:40:00 PM UTC+5:30",,"isaac teslaa,teslaa,teslaa lions","https://trends.google.com/trends/explore?q=isaac%20teslaa&geo=US&hl=en-US"
"kendrick perkins","5K+","August 1, 2025 at 2:30:00 AM UTC+5:30",,"kendrick perkins","https://trends.google.com/trends/explore?q=kendrick%20perkins&geo=US&hl=en-US"
"keandre lambert-smith","5K+","August 1, 2025 at 6:10:00 AM UTC+5:30",,"keandre lambert-smith,keandre lambert smith,vidal chargers","https://trends.google.com/trends/explore?q=keandre%20lambert-smith&geo=US&hl=en-US"
"cowboys","5K+","August 1, 2025 at 3:40:00 AM UTC+5:30",,"cowboys,dallas cowboys","https://trends.google.com/trends/explore?q=cowboys&geo=US&hl=en-US"
"hulk hogan cause of death revealed","5K+","August 1, 2025 at 1:10:00 AM UTC+5:30",,"hulk hogan cause of death revealed,hulk hogan how did he die","https://trends.google.com/trends/explore?q=hulk%20hogan%20cause%20of%20death%20revealed&geo=US&hl=en-US"
"trent thornton","2K+","August 1, 2025 at 9:40:00 AM UTC+5:30",,"trent thornton,thornton mariners","https://trends.google.com/trends/explore?q=trent%20thornton&geo=US&hl=en-US"
"cruz azul vs","2K+","August 1, 2025 at 8:00:00 AM UTC+5:30",,"cruz azul vs,seattle vs cruz azul,cruz azul hoy","https://trends.google.com/trends/explore?q=cruz%20azul%20vs&geo=US&hl=en-US"
"ohio state buckeyes football","1K+","August 1, 2025 at 7:10:00 AM UTC+5:30",,"ohio state buckeyes football","https://trends.google.com/trends/explore?q=ohio%20state%20buckeyes%20football&geo=US&hl=en-US"
"temple","500+","August 1, 2025 at 10:30:00 AM UTC+5:30",,"temple","https://trends.google.com/trends/explore?q=temple&geo=US&hl=en-US"
